2015-12-20 23:42:08 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:42:08 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:42:09 WARNING  timed out
2015-12-20 23:42:20 INFO     connecting csi.gstatic.com:443 from 118.249.146.68:60373
2015-12-20 23:42:28 INFO     connecting lh6.googleusercontent.com:443 from 118.249.146.68:60383
2015-12-20 23:42:28 INFO     connecting clients5.google.com:443 from 118.249.146.68:60382
2015-12-20 23:42:28 INFO     connecting www.gstatic.com:443 from 118.249.146.68:60385
2015-12-20 23:42:35 INFO     connecting maps.google.com:443 from 118.249.146.68:60391
2015-12-20 23:42:38 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:42:41 INFO     connecting maps.gstatic.com:443 from 118.249.146.68:60411
2015-12-20 23:42:41 INFO     connecting maps.gstatic.com:443 from 118.249.146.68:60412
2015-12-20 23:42:42 INFO     connecting maps.gstatic.com:443 from 118.249.146.68:60410
2015-12-20 23:42:43 INFO     connecting www.gstatic.com:443 from 118.249.146.68:60420
2015-12-20 23:42:43 INFO     connecting www.google.com:443 from 118.249.146.68:60416
2015-12-20 23:42:49 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:43:50 INFO     connecting ssl.gstatic.com:443 from 118.249.146.68:60449
2015-12-20 23:43:51 INFO     connecting ssl.gstatic.com:443 from 118.249.146.68:60448
2015-12-20 23:46:56 INFO     connecting client.dropbox.com:443 from 118.249.146.68:60464
2015-12-20 23:47:46 INFO     connecting www.google.com:443 from 118.249.146.68:60479
2015-12-20 23:48:08 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:48:37 INFO     connecting clients4.google.com:443 from 118.249.146.68:60506
2015-12-20 23:48:38 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:51:55 INFO     connecting plus.google.com:443 from 118.249.146.68:60554
2015-12-20 23:52:01 INFO     connecting csi.gstatic.com:443 from 118.249.146.68:60559
2015-12-20 23:57:45 INFO     connecting clients6.google.com:443 from 118.249.146.68:60611
2015-12-20 23:57:46 INFO     connecting clients6.google.com:443 from 118.249.146.68:60615
2015-12-20 23:58:55 INFO     connecting mail.google.com:443 from 118.249.146.68:60639
2015-12-20 23:59:01 INFO     connecting play.google.com:443 from 118.249.146.68:60643
2015-12-20 23:59:02 INFO     connecting play.google.com:443 from 118.249.146.68:60647
2015-12-21 00:00:06 INFO     connecting play.google.com:443 from 118.249.146.68:60660
2015-12-21 00:00:23 INFO     connecting clients4.google.com:443 from 118.249.146.68:60664
2015-12-21 00:01:18 INFO     connecting apis.google.com:443 from 184.153.248.113:7335
2015-12-21 00:01:18 INFO     connecting www.google.com:443 from 184.153.248.113:7333
2015-12-21 00:01:18 INFO     connecting www.gstatic.com:443 from 184.153.248.113:7334
2015-12-21 00:01:18 INFO     connecting clients5.google.com:443 from 184.153.248.113:7337
2015-12-21 00:01:18 INFO     connecting ssl.gstatic.com:443 from 184.153.248.113:7336
2015-12-21 00:01:19 INFO     connecting lh6.googleusercontent.com:443 from 184.153.248.113:7341
2015-12-21 00:01:20 INFO     connecting plus.google.com:443 from 184.153.248.113:7346
2015-12-21 00:01:30 INFO     connecting clients4.google.com:443 from 184.153.248.113:7351
2015-12-21 00:02:18 INFO     connecting www.google.com:80 from 184.153.248.113:7440
2015-12-21 00:02:18 INFO     connecting www.google.com:80 from 184.153.248.113:7452
2015-12-21 00:02:18 INFO     connecting www.google.com:80 from 184.153.248.113:7451
2015-12-21 00:02:18 INFO     connecting www.google.com:80 from 184.153.248.113:7450
2015-12-21 00:02:18 INFO     connecting www.google.com:80 from 184.153.248.113:7456
2015-12-21 00:02:18 INFO     connecting www.google.com:80 from 184.153.248.113:7464
2015-12-21 00:02:18 INFO     connecting pagead2.googlesyndication.com:80 from 184.153.248.113:7463
2015-12-21 00:02:18 INFO     connecting www.google.com:80 from 184.153.248.113:7469
2015-12-21 00:02:18 INFO     connecting www.google.com:80 from 184.153.248.113:7473
2015-12-21 00:02:36 INFO     connecting plus.google.com:443 from 118.249.146.68:60671
2015-12-21 00:02:50 INFO     connecting play.google.com:443 from 184.153.248.113:7509
2015-12-21 00:02:50 INFO     connecting play.google.com:443 from 184.153.248.113:7517
2015-12-21 00:02:53 INFO     connecting www.google.com:80 from 184.153.248.113:7558
2015-12-21 00:02:53 INFO     connecting tpc.googlesyndication.com:443 from 184.153.248.113:7557
2015-12-21 00:02:54 INFO     connecting www.google.com:80 from 184.153.248.113:7570
2015-12-21 00:02:54 INFO     connecting www.google.com:80 from 184.153.248.113:7576
2015-12-21 00:02:55 INFO     connecting pagead2.googlesyndication.com:80 from 184.153.248.113:7600
2015-12-21 00:03:11 INFO     connecting external-ord1-1.xx.fbcdn.net:443 from 184.153.248.113:7624
2015-12-21 00:03:11 INFO     connecting static.xx.fbcdn.net:443 from 184.153.248.113:7622
2015-12-21 00:03:11 INFO     connecting 1-edge-chat.facebook.com:443 from 184.153.248.113:7617
2015-12-21 00:03:11 INFO     connecting scontent-ord1-1.xx.fbcdn.net:443 from 184.153.248.113:7623
2015-12-21 00:03:11 INFO     connecting www.facebook.com:443 from 184.153.248.113:7618
2015-12-21 00:03:12 INFO     connecting scontent-sjc2-1.xx.fbcdn.net:443 from 184.153.248.113:7632
2015-12-21 00:03:12 INFO     connecting external-sjc2-1.xx.fbcdn.net:443 from 184.153.248.113:7636
2015-12-21 00:03:12 INFO     connecting external-sjc2-1.xx.fbcdn.net:443 from 184.153.248.113:7640
2015-12-21 00:03:14 INFO     connecting 3-edge-chat.facebook.com:443 from 184.153.248.113:7646
2015-12-21 00:03:22 INFO     connecting safebrowsing.google.com:443 from 184.153.248.113:7651
2015-12-21 00:03:22 INFO     connecting safebrowsing-cache.google.com:443 from 184.153.248.113:7655
2015-12-21 00:03:46 INFO     connecting video-sjc2-1.xx.fbcdn.net:443 from 184.153.248.113:7669
2015-12-21 00:04:09 INFO     connecting 3-edge-chat.facebook.com:443 from 184.153.248.113:7681
2015-12-21 00:04:19 INFO     connecting www.facebook.com:443 from 184.153.248.113:7700
2015-12-21 00:04:19 INFO     connecting scontent-sjc2-1.xx.fbcdn.net:443 from 184.153.248.113:7705
2015-12-21 00:04:25 INFO     connecting external-sjc2-1.xx.fbcdn.net:443 from 184.153.248.113:7718
2015-12-21 00:04:25 INFO     connecting external-sjc2-1.xx.fbcdn.net:443 from 184.153.248.113:7717
2015-12-21 00:04:25 INFO     connecting external-sjc2-1.xx.fbcdn.net:443 from 184.153.248.113:7716
2015-12-21 00:04:41 INFO     connecting static.xx.fbcdn.net:443 from 184.153.248.113:7725
2015-12-21 00:04:41 INFO     connecting static.xx.fbcdn.net:443 from 184.153.248.113:7741
2015-12-21 00:04:41 INFO     connecting static.xx.fbcdn.net:443 from 184.153.248.113:7740
2015-12-21 00:04:41 INFO     connecting static.xx.fbcdn.net:443 from 184.153.248.113:7748
2015-12-21 00:04:41 INFO     connecting static.xx.fbcdn.net:443 from 184.153.248.113:7747
2015-12-21 00:04:41 INFO     connecting static.xx.fbcdn.net:443 from 184.153.248.113:7745
2015-12-21 00:04:41 INFO     connecting static.xx.fbcdn.net:443 from 184.153.248.113:7749
2015-12-21 00:04:41 INFO     connecting pixel.facebook.com:443 from 184.153.248.113:7756
2015-12-21 00:04:41 INFO     connecting pixel.facebook.com:443 from 184.153.248.113:7757
2015-12-21 00:05:06 INFO     connecting clients5.google.com:443 from 184.153.248.113:7784
2015-12-21 00:05:06 INFO     connecting www.google.com:443 from 184.153.248.113:7777
2015-12-21 00:05:06 INFO     connecting www.gstatic.com:443 from 184.153.248.113:7787
2015-12-21 00:05:06 INFO     connecting lh6.googleusercontent.com:443 from 184.153.248.113:7782
2015-12-21 00:05:06 INFO     connecting apis.google.com:443 from 184.153.248.113:7778
2015-12-21 00:05:06 INFO     connecting ssl.gstatic.com:443 from 184.153.248.113:7783
2015-12-21 00:05:06 INFO     connecting plus.google.com:443 from 184.153.248.113:7788
2015-12-21 00:05:06 INFO     connecting www.google.com:443 from 184.153.248.113:7792
2015-12-21 00:05:08 INFO     connecting play.google.com:443 from 184.153.248.113:7796
2015-12-21 00:08:53 INFO     connecting clients4.google.com:443 from 118.249.146.68:60713
2015-12-21 00:08:58 INFO     connecting mail.google.com:443 from 118.249.146.68:60717
2015-12-21 00:09:08 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:09:47 INFO     connecting clients6.google.com:443 from 118.249.146.68:60723
2015-12-21 00:09:51 INFO     connecting clients6.google.com:443 from 118.249.146.68:60729
2015-12-21 00:10:42 INFO     connecting d.dropbox.com:443 from 118.249.146.68:60741
